Drug ID;Drug Name;Generic Name;Drug Class;Indications;Dosage Form;Strength;Route of Administration;Mechanism of Action;Side Effects
1;Aspirin;Acetylsalicylic Acid;Analgesic;Headache;Tablet;325 mg;Oral;Inhibits prostaglandin synthesis;Stomach irritation
2;Amoxicillin;Amoxicillin;Antibiotic;Bacterial Infections;Capsule;500 mg;Oral;Inhibits bacterial cell wall synthesis;Nausea
3;Lisinopril;Lisinopril;Antihypertensive;Hypertension;Tablet;10 mg;Oral;Blocks conversion of angiotensin I to angiotensin II;Cough
4;Albuterol;Albuterol;Bronchodilator;Asthma;Inhaler;100 mcg/inhalation;Inhalation;Stimulates beta-2 adrenergic receptors;Tremor
5;Omeprazole;Omeprazole;Proton Pump Inhibitor;Acid Reflux;Capsule;20 mg;Oral;Reduces stomach acid production;Headache
6;Levothyroxine;Levothyroxine;Hormone;Thyroid Disorder;Tablet;50 mcg;Oral;Replaces or supplements thyroid hormone;Dizziness
7;Simvastatin;Simvastatin;Cholesterol-lowering;Hyperlipidemia;Tablet;20 mg;Oral;Inhibits cholesterol synthesis;Muscle pain
8;Metformin;Metformin;Oral Antidiabetic;Type 2 Diabetes;Tablet;1000 mg;Oral;Decreases glucose production by the liver;Diarrhea
9;Ibuprofen;Ibuprofen;NSAID;Pain and Inflammation;Tablet;200 mg;Oral;Inhibits prostaglandin synthesis;Upset stomach
10;Ciprofloxacin;Ciprofloxacin;Fluoroquinolone;Bacterial Infections;Tablet;500 mg;Oral;Inhibits bacterial DNA synthesis;Nausea
11;Alprazolam;Alprazolam;Anxiolytic;Anxiety;Tablet;0.5 mg;Oral;Enhances effects of GABA in the brain;Drowsiness
12;Ranitidine;Ranitidine;H2 Blocker;Gastric Ulcers;Tablet;150 mg;Oral;Reduces stomach acid production;Headache
13;Atorvastatin;Atorvastatin;Cholesterol-lowering;Hyperlipidemia;Tablet;40 mg;Oral;Inhibits cholesterol synthesis;Muscle pain
14;Cephalexin;Cephalexin;Antibiotic;Bacterial Infections;Capsule;250 mg;Oral;Inhibits bacterial cell wall synthesis;Upset stomach
15;Paracetamol;Paracetamol;Analgesic;Pain and Fever;Tablet;500 mg;Oral;Precise mechanism not fully understood;None at normal doses
16;Morphine;Morphine;Analgesic;Severe Pain;Tablet;10 mg;Oral;Binds to opioid receptors in the brain;Respiratory depression
17;Risperidone;Risperidone;Antipsychotic;Schizophrenia;Tablet;2 mg;Oral;Blocks dopamine and serotonin receptors;Weight gain
18;Sildenafil;Sildenafil;Erectile Dysfunction Agent;Erectile Dysfunction;Tablet;50 mg;Oral;Inhibits phosphodiesterase type 5;Headache
19;Furosemide;Furosemide;Loop Diuretic;Edema;Tablet;40 mg;Oral;Inhibits sodium and water reabsorption;Dehydration
20;Esomeprazole;Esomeprazole;Proton Pump Inhibitor;Acid Reflux;Capsule;40 mg;Oral;Reduces stomach acid production;Headache
21;Warfarin;Warfarin;Anticoagulant;Thrombosis;Tablet;5 mg;Oral;Inhibits vitamin K-dependent clotting factors;Bleeding
22;Tramadol;Tramadol;Analgesic;Moderate to Severe Pain;Tablet;100 mg;Oral;Binds to opioid receptors and inhibits serotonin reuptake;Constipation
23;Fluoxetine;Fluoxetine;Selective Serotonin Reuptake Inhibitor;Depression;Capsule;20 mg;Oral;Inhibits serotonin reuptake;Nausea
24;Levofloxacin;Levofloxacin;Fluoroquinolone;Bacterial Infections;Tablet;250 mg;Oral;Inhibits bacterial DNA synthesis;Nausea
25;Lorazepam;Lorazepam;Anxiolytic;Anxiety;Tablet;1 mg;Oral;Enhances effects of GABA in the brain;Drowsiness
26;Losartan;Losartan;Angiotensin II Receptor Blocker;Hypertension;Tablet;50 mg;Oral;Blocks angiotensin II receptors;Cough
27;Amphetamine;Amphetamine;Stimulant;Attention Deficit Hyperactivity Disorder;Tablet;10 mg;Oral;Increases release of norepinephrine and dopamine;Insomnia
28;Citalopram;Citalopram;Selective Serotonin Reuptake Inhibitor;Depression;Tablet;20 mg;Oral;Inhibits serotonin reuptake;Nausea
29;Metoprolol;Metoprolol;Beta Blocker;Hypertension;Tablet;25 mg;Oral;Blocks beta receptors;Low heart rate
30;Venlafaxine;Venlafaxine;Selective Serotonin-Norepinephrine Reuptake Inhibitor;Depression;Capsule;75 mg;Oral;Inhibits serotonin and norepinephrine reuptake;Nausea
31;Methylphenidate;Methylphenidate;Stimulant;Attention Deficit Hyperactivity Disorder;Tablet;10 mg;Oral;Increases norepinephrine and dopamine release;Insomnia
32;Rosuvastatin;Rosuvastatin;Cholesterol-lowering;Hyperlipidemia;Tablet;20 mg;Oral;Inhibits cholesterol synthesis;Muscle pain
33;Bupropion;Bupropion;Atypical Antidepressant;Depression;Tablet;150 mg;Oral;Inhibits reuptake of dopamine and norepinephrine;Insomnia
34;Ceftriaxone;Ceftriaxone;Cephalosporin;Bacterial Infections;Injection;1 g;Intravenous/Intramuscular;Inhibits bacterial cell wall synthesis;Injection site reactions
35;Fentanyl;Fentanyl;Opioid Analgesic;Severe Pain;Transdermal Patch;100 mcg/hour;Transdermal;Binds to opioid receptors in the brain;Respiratory depression
36;Hydrochlorothiazide;Hydrochlorothiazide;Thiazide Diuretic;Hypertension;Tablet;25 mg;Oral;Increases urine output;Dehydration
37;Escitalopram;Escitalopram;Selective Serotonin Reuptake Inhibitor;Depression;Capsule;10 mg;Oral;Inhibits serotonin reuptake;Nausea
38;Amlodipine;Amlodipine;Calcium Channel Blocker;Hypertension;Tablet;5 mg;Oral;Blocks calcium channels;Swelling of legs and ankles
39;Mirtazapine;Mirtazapine;Atypical Antidepressant;Depression;Tablet;30 mg;Oral;Enhances noradrenergic and serotonergic activity;Drowsiness
40;Trazodone;Trazodone;Serotonin Modulator;Depression;Tablet;50 mg;Oral;Enhances serotonin activity;Drowsiness
41;Pravastatin;Pravastatin;Cholesterol-lowering;Hyperlipidemia;Tablet;40 mg;Oral;Inhibits cholesterol synthesis;Muscle pain
42;Aripiprazole;Aripiprazole;Atypical Antipsychotic;Schizophrenia;Tablet;10 mg;Oral;Partial agonist at dopamine and serotonin receptors;Weight gain
43;Amoxicillin-Clavulanate;Amoxicillin-Clavulanate;Antibiotic;Bacterial Infections;Tablet;875/125 mg;Oral;Inhibits bacterial cell wall synthesis;Diarrhea
44;Lithium;Lithium;Mood Stabilizer;Bipolar Disorder;Capsule;300 mg;Oral;Precise mechanism not fully understood;Frequent urination
45;Pregabalin;Pregabalin;Anticonvulsant;Neuropathic Pain;Capsule;75 mg;Oral;Binds to calcium channels in nerve cells;Dizziness
46;Isosorbide Mononitrate;Isosorbide Mononitrate;Vasodilator;Angina;Tablet;60 mg;Oral;Relaxes blood vessels;Headache
47;Ezetimibe;Ezetimibe;Cholesterol Absorption Inhibitor;Hyperlipidemia;Tablet;10 mg;Oral;Inhibits cholesterol absorption from the intestines;Stomach pain
48;Enalapril;Enalapril;Angiotensin-Converting Enzyme Inhibitor;Hypertension;Tablet;20 mg;Oral;Inhibits angiotensin-converting enzyme;Cough
49;Diazepam;Diazepam;Benzodiazepine;Anxiety;Tablet;5 mg;Oral;Enhances effects of GABA in the brain;Drowsiness
50;Methotrexate;Methotrexate;Immunosuppressant;Rheumatoid Arthritis;Tablet;10 mg;Oral;Inhibits folic acid synthesis;Nausea
51;Cetirizine;Cetirizine;Antihistamine;Allergies;Tablet;10 mg;Oral;Blocks histamine receptors;Drowsiness
52;Bromocriptine;Bromocriptine;Dopamine Agonist;Parkinson's Disease;Tablet;2.5 mg;Oral;Stimulates dopamine receptors;Nausea
53;Ethinyl Estradiol / Levonorgestrel;Ethinyl Estradiol / Levonorgestrel;Combined Oral Contraceptive;Contraception;Pill;0.03 mg / 0.15 mg;Oral;Inhibits ovulation;Nausea
54;Gabapentin;Gabapentin;Anticonvulsant;Epilepsy;Capsule;300 mg;Oral;Increases GABA activity;Dizziness
55;Naproxen;Naproxen;NSAID;Pain and Inflammation;Tablet;250 mg;Oral;Inhibits prostaglandin synthesis;Stomach irritation
56;Carvedilol;Carvedilol;Beta Blocker;Hypertension;Tablet;25 mg;Oral;Blocks beta receptors;Low heart rate
57;Clopidogrel;Clopidogrel;Platelet Aggregation Inhibitor;Cardiovascular Disease;Tablet;75 mg;Oral;Inhibits platelet aggregation;Dizziness
58;Ezetimibe / Simvastatin;Ezetimibe / Simvastatin;Cholesterol-lowering;Hyperlipidemia;Tablet;10 mg / 20 mg;Oral;Inhibits cholesterol absorption and synthesis;Muscle pain
59;Fluticasone Propionate;Fluticasone Propionate;Corticosteroid;Asthma;Inhaler;50 mcg/inhalation;Inhalation;Reduces inflammation and bronchoconstriction;Hoarseness
60;Metronidazole;Metronidazole;Antibiotic;Bacterial Infections;Tablet;500 mg;Oral;Disrupts DNA and protein synthesis;Nausea
61;Duloxetine;Duloxetine;Selective Serotonin-Norepinephrine Reuptake Inhibitor;Depression;Capsule;30 mg;Oral;Inhibits serotonin and norepinephrine reuptake;Nausea
